dimension,slice,n,n_profiles,auroc,accuracy
Lighting,well_lit,6556,5,0.5999937593715333,0.4344112263575351
Lighting,dim_lit,1457,5,0.6381874752928505,0.45161290322580644
Lighting,no_lighting,154,5,0.7054530963167301,0.487012987012987
DeviceType,computer,1989,5,0.6051624219672209,0.4675716440422323
DeviceType,laptop,6173,5,0.5989238163743962,0.4176251417463146
ExpSetting,home,7867,5,0.5928813008822659,0.43434600228803866
ExpSetting,public,300,5,0.5861098892318032,0.39666666666666667
EyeTrackerType,webcam,8167,5,0.5923692399887912,0.422921513407616
TaskType,video,8167,5,0.5923692399887912,0.422921513407616
